cardcode;cardname;cardfname;Address;OUTLET;Street;U_Bill_Area
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KELAPA GADING FSDT;KELAPA GADING FSDT;Plaza Pacifik, Jl Boulevard Barat Raya, Blok A4-80, Kelapa Gading, Jakarta, RW5, Jakarta Utara,14240;BK01
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SENAYAN CITY;SENAYAN CITY;senayan city lg.#26, jl. asia afrika 1 jakarta;BK01
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SKYLINE;SKYLINE;pt.skyline building, jl.mh.thamrin no.9 jakarta;BK02
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GRAND INDONESIA;GRAND INDONESIA;JL MH Thamrin Kav 1 Jakarta WM-LG 09-10;BK03
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CILANDAK TOWN SQUARE;CILANDAK TOWN SQUARE;Jl.TB.Simatupang Kav.17 Jakarta-12430 Lt1;BK06
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SUPERMALL KARAWACI;SUPERMALL KARAWACI;Jl Boulevard  Diponegoro 105 Karawaci Tangerang UG Unit 141;BK10
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CENTRAL PARK;CENTRAL PARK;Jl Let Jend S Parman Kav 28 Jakarta 11470 LG 248;BK13
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING HAYAM WURUK;HAYAM WURUK;Jl Hayam Wuruk 108 Kel Maphar Kec Taman Sari -Jakarta Barat GF;BK14
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CIBUBUR SQUARE KM 10;CIBUBUR SQUARE KM 10;Jl Tol Jagorawi Cibubur Kel Cipayung Kec Cipayung Jakarta Timur Rest Area Cibubur KM10;BK15
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GIANT BSD;GIANT BSD;Giant Bumi Serpong Damai Blok CBD II,5 Gf11 Jl. Kapten Soebianto Djojohadikusumo Kel Lengkong Gudang;BK17
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BLOK M PLAZA;BLOK M PLAZA;Jl.Bulungan No.76 Jakarta Selatan UG Fl Unit UG#06-10;BK20
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING  BENOA SQUARE BALI;BENOA SQUARE;Benoa Square Jl.By Pass/I Gusti Ngurah Rai No.21A;BK21
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MAL CIPUTRA JAKARTA;MAL CIPUTRA JAKARTA;Jl. Arteri S Parman Grogol Jakarta 11470 LG-01;BK23
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SUNTER MALL;SUNTER MALL;Jl. Danau Sunter Utara Blok G7 Kav11 Jakarta Utara Lt1-25;BK24
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CIBUBUR FSDT-BEKASI;CIBUBUR FSDT-BEKASI;Jl. Raya Alternatif Cibubur Transyogi Cibubur;BK26
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PARAMOUNT GADING SERPONG;PARAMOUNT GADING SERPONG;JL Boulevard Gading Serpong CBD Lot 3 Tangerang 15180 CBD Gading Serpong Lot 3;BK27
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING DUREN SAWIT;DUREN SAWIT;Jl. Kolonel Soegiono 28 Daerah Khusus Ibukota Jakarta 13440;BK28
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BOTANI SQUARE;BOTANI SQUARE;Jl. Raya Padjajaran Bogor 16127GF Area Parkir Raffllesia;BK30
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PANTAI INDAH KAPUK;PANTAI INDAH KAPUK;Jl. Pantai Indah Utara II Kav.C1 Kapuk Muara Penjaringan Kapuk Jakarta Utara;BK32
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SUNSET;SUNSET POINT;JL.SUNSET ROAD 88-99 SEMINYAK KUTA BALI;BK35
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING REST AREA KM19;REST AREA KM19;JL Tol Jakarta - Cikampek km 19 Lambangsari Tambun Selatan Bekasi Rest Area KM19 Cikampek;BK37
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KASABLANKA;KASABLANKA;Jl Casablanca Raya Kav 88 Jakarta 12870 Lt LG Unit L68;BK40
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SETIABUDI ONE;SETIABUDI ONE;Jl. HR Rasuna Said Kav.62 Kel Kuningan Timur Kec Setiabudi Jakarta -129201st Fl Unit A202B-A20;BK43
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PLAZA ATRIUM;PLAZA ATRIUM;Jl. Senen Raya Blok A 135 Senen Jakarta 10410Gf-0002-0004 (Outdoor Gf0002 Sa);BK44
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING THAMRIN CITY;THAMRIN CITY;Jl.Thamrin Boulevard Kebon Kacang Tanah Abang Jakarta 10340 Lobby Lt dasar Thamrin Terrace;BK45
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING REST AREA KM 13.5;REST AREA KM 13.5;Rest Area Jalan Tol Jakarta-Merah KM13,5 (arah Merah Tangerang)Kel Pinang Kec Pinang Tangerang 15145;BK46
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING LOTTE SHOPPING AVENUE;LOTTE SHOPPING AVENUE;Jl Prof Dr Satrio Kav 3-5 Karet Kunigan Jakarta Lt4 Unit02;BK48
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING HYPERMALL BEKASI;HYPERMALL BEKASI;jl. Jend Ahmad Yani No.1 Bekasi 17144 UG;BK49
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING  PLAZA FESTIVAL;PLAZA FESTIVAL;lg. 04a jl. hr. rasuna said kav. c22, jakarta 12920;BK50
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PASARAYA BLOK M;PASARAYA BLOK M;ground floor, jl. iskandarsyah ii no.2, blok m - kebayoranbaru;BK51
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING REST AREA KM14;REST AREA KM14;Jl Tol Tangerang-Jakarta KM14 Kunciran Jaya Pinang Kota Tangerang FSDT;BK52
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MALL OF INDONESIA (MOI);MALL OF INDONESIA (MOI);JL Boulevard Barat Raya Kelapa Gading Jakarta 1 Floor Unit D9&D10;BK53
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BELLAGIO MALL;BELLAGIO MALL;JL Prof Dr Satrio Kav E4 N03 Mega Kuningan Barat-Jakarta 129500G 11 & OUG 11;BK54
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CITYWALK SUDIRMAN;CITYWALK SUDIRMAN;citywalk sudirman, gf #2 jl. k.h mas mansyur 121jakarta 10220;BK60
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TRANSMART CARREFOUR CEMPAKA PUTIH;TRANSMART CARREFOUR CEMPAKA PUTIH;JL. AHMAD YANI NO. 83 CEMPAKA PUTIH, JAKARTA 10510 TRANSMART CARREFOUR;BK61
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TEBET FSDT;TEBET FSDT;JL LAPANGAN ROOS RAYA RT015 RW004 KEL BUKIT DURI KEC TEBET JAKARTAFSDT;BK62
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;(IN ACTIVE) BURGER KING TEBET GREEN;TEBET FSDT;jl. letjen mt. haryono, kav.25-26, tebet - jakarta selatan;BK62
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GANDARIA CITY;GANDARIA CITY;JL SULTAN ISKANDAR MUDA KEBAYORAN LAMA JAKARTA SELATAN 12240LG Unit L105 DAN SL105;BK63
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PERTAMINA GADING SERPONG;PERTAMINA GADING SERPONG;JL Raya Boulevard Gading Serpong Kav Serenade Lake Blok A No03 Kel Pakulonan Barat Kec;BK64
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BALEKOTA MALL;BALEKOTA MALL;JL JEND SUDIRMAN KM 10 TANGERANG LG-UNIT 1F-G5;BK65
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING REST AREA KM 97;KM 97;JL Tol Cipularang KM97 Sadarkarya Darangdan Kab Purwakarta Jawa Barat 41163GF;BK68
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KM 39 REST AREA TOL CIKAMPEK BEKASI;KM 39;NULL;BK69
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TERMINAL 3 ULTIMATE;TERMINAL 3 ULTIMATE;JL C3 GEDUNG 634 KOMP PERKANTORAN BANDARA SOETTA DEKAT PEMBANGUNAN BANDARA SOETTA GUDANG DHL;BK70
