CardCode;CardName;Notes
RC0077;PT CARMELOVA ANUGERAH INDONESIA;Weekly - Senin
RS1867;PT DAMAI BERKAT BERSAUDARA;Weekly - Senin
RS0489;PT OOTOYA INDONESIA;Weekly - Senin
RC0094;PT FARINO LESTARI WIDODO;Weekly - Senin
RS1918;PT PAWON SENTRA TAMA;Weekly - Senin
RC0036;PT KANAKA LADANG ENERGI;Weekly - Senin
RS1681;STEPHANIE;Weekly - Senin
RS0044;CV DALLAS SENAYAN;Weekly - Senin
RS1000;PT GEMAFOOD MASPRIMA;Weekly - Senin
RS2123;PT GRAM INDONESIA;Weekly - Senin
RC0073;CV TRI MITRA UTAMA;Weekly - Senin 
RS1392;PT JAVANEGRA GASTRONOMICA SEJAHTERA;Weekly - Senin
RS1679;PT DAPUR SELERA KITA;Weekly - Senin
RS2766;PT SELERA PANGAN HARUM;Weekly - Senin
RS3000;PT RAAP GASTRONOMICA ANUGERAH;Weekly - Senin
RS2064;WILLIAM TANUWIDJAYA;Weekly - Senin
RS1923;AAN SUJANA;Weekly - Senin
RS0506;PENNY ROOS;Weekly - Senin
RC0071;PT AIR MURNI SORAK ASRI LESTARI;Weekly - Senin
RC0064;PT TJANDRA MIFTAH RAHARJA;Weekly - Senin
RC0052;CV ARYA SEJAHTERA;Weekly - Senin
RC0117;CV ABIPRAYA SHELLINDO ANTARPRADANA;Weekly - Senin
RS1259;PT SHISHA INTERNASIONAL;Weekly - Senin
RS2434;PT RYOURI KARYA FUTAGO;Weekly - Senin
RS2465;PT YAOMBE BANYU LESTARI;Weekly  - Senin
RS2910;PT SUKHA SELARAS LESTARI;Weekly  - Senin
RS2943;PT AKAR INDAH PRATAMA;Weekly - Senin
RS3099;PT PERSEMAKMURAN;Weekly  - Senin
UM0344;PT INDONESIA INTERNATIONAL EXPO;Weekly  - Senin
RS1652;PT TORAJA KOPI INTERNASIONAL;Weekly - Selasa
RS1954;PT KONSEP HASIL INDONESIA;Weekly - Selasa
RS1945;PT TITIAN AGUNG SEJAHTERA;Weekly - Selasa
RS2038;PT SUNTER JAYA ABADI;Weekly - Selasa
RS1084;CV SUKSES BERSAMA;Weekly - Selasa
RS2414;PT PROVENCE INDONESIA;Weekly - Selasa
RS0151;PT NEXEN INTI PRATAMA;Weekly - Selasa
RS2535;CV SELERA SEHATI BERSAMA;Weekly - Selasa
RC0038;PT BAPARAPI BOGA PERKASA;Weekly - Selasa
