CardCode;DocType;Series;DocDate;DocDueDate;TaxDate;CardName;DocNum;NumAtCard;ItemDescription;VatGroup;LineTotal;AccountCode
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221110478;SO22221100484;OB NO SO22221100484-221110478;PPNM_00;4000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111527;SO22221101437;OB NO SO22221101437-221111527;PPNM_00;39808005;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111528;SO22221101379;OB NO SO22221101379-221111528;PPNM_00;17177139;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111529;SO22221101381;OB NO SO22221101381-221111529;PPNM_00;21678633;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111530;SO22221101402;OB NO SO22221101402-221111530;PPNM_00;33530270;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111536;SO22221101488;OB NO SO22221101488-221111536;PPNM_00;9806100;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111537;SO22221101489;OB NO SO22221101489-221111537;PPNM_00;3557550;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112584;SO22221101397;OB NO SO22221101397-221112584;PPNM_00;42154610;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111745;SO22221101698;OB NO SO22221101698-221111745;PPNM_00;1881450;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111736;SO22221101586;OB NO SO22221101586-221111736;PPNM_00;3246750;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111737;SO22221101584;OB NO SO22221101584-221111737;PPNM_00;16458020;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111743;SO22221101702;OB NO SO22221101702-221111743;PPNM_00;11588400;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221111744;SO22221101697;OB NO SO22221101697-221111744;PPNM_00;16583240;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112071;SO22221101963;OB NO SO22221101963-221112071;PPNM_00;750360;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112082;SO22221102042;OB NO SO22221102042-221112082;PPNM_00;5760000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112086;SO22221101912;OB NO SO22221101912-221112086;PPNM_00;11329770;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112097;SO22221102053;OB NO SO22221102053-221112097;PPNM_00;2400000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112121;SO22221102078;OB NO SO22221102078-221112121;PPNM_00;659340;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112122;SO22221102079;OB NO SO22221102079-221112122;PPNM_00;17550000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112343;SO22221101962;OB NO SO22221101962-221112343;PPNM_00;6552175;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112073;SO22221101909;OB NO SO22221101909-221112073;PPNM_00;10784205;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112074;SO22221101916;OB NO SO22221101916-221112074;PPNM_00;6525000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112075;SO22221101915;OB NO SO22221101915-221112075;PPNM_00;49198740;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112076;SO22221102020;OB NO SO22221102020-221112076;PPNM_00;72500;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112272;SO22221102184;OB NO SO22221102184-221112272;PPNM_00;2445330;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112305;SO22221102253;OB NO SO22221102253-221112305;PPNM_00;1259850;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112320;SO22221102265;OB NO SO22221102265-221112320;PPNM_00;9841602;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221112495;SO22221102182;OB NO SO22221102182-221112495;PPNM_00;20617520;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210124;SO22221200140;OB NO SO22221200140-221210124;PPNM_00;12709500;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210010;SO22221200012;OB NO SO22221200012-221210010;PPNM_00;19285700;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210011;SO22221200010;OB NO SO22221200010-221210011;PPNM_00;2440890;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210148;SO22221200090;OB NO SO22221200090-221210148;PPNM_00;9322890;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210158;SO22221200160;OB NO SO22221200160-221210158;PPNM_00;17540160;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210209;SO22221200242;OB NO SO22221200242-221210209;PPNM_00;4226880;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210009;SO22221200011;OB NO SO22221200011-221210009;PPNM_00;46899750;3910003
