doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;7106;Tukar Faktur;PY-IN-23000022;;2023-01-13;Irfan
13;5297;Tukar Faktur;PY-IN-23000030;;2023-01-13;Ilyas
13;5298;Tukar Faktur;PY-IN-23000030;;2023-01-13;Ilyas
13;5297;Tukar Faktur;PY-IN-23000034;;2023-01-13;Ilyas
13;5298;Tukar Faktur;PY-IN-23000034;;2023-01-13;Ilyas
13;20904;Tukar Faktur;PY-IN-23000077;;2023-01-13;Yohanes
13;10453;Tukar Faktur;PY-IN-23000107;;2023-01-13;Yohanes
13;16870;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;16871;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;16954;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;16955;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;16978;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;20942;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;21404;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;21405;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;21406;Tukar Faktur;PY-IN-23000222;;2023-01-13;Yohanes
13;16552;Tukar Faktur;PY-IN-23001022;;2023-01-16;Affen
13;16553;Tukar Faktur;PY-IN-23001022;;2023-01-16;Affen
13;19193;Tukar Faktur;PY-IN-23001022;;2023-01-16;Affen
13;19194;Tukar Faktur;PY-IN-23001022;;2023-01-16;Affen
13;19195;Tukar Faktur;PY-IN-23001022;;2023-01-16;Affen
13;9211;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;9581;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;9583;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;9723;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;9735;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;9857;Tukar Faktur;PY-IN-23001029;;2023-01-16;Susilo
13;20787;Tukar Faktur;PY-IN-23001031;;2023-01-16;Susilo
13;31215;Tukar Faktur;PY-IN-23001035;;2023-01-16;Affen
13;40521;Tukar Faktur;PY-IN-23001035;;2023-01-16;Affen
13;41986;Tukar Faktur;PY-IN-23001035;;2023-01-16;Affen
13;42021;Tukar Faktur;PY-IN-23001035;;2023-01-16;Affen
13;42363;Tukar Faktur;PY-IN-23001035;;2023-01-16;Affen
13;39306;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39307;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39308;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39309;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39310;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39423;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39429;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39437;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39438;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39461;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39462;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39463;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39466;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39467;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39468;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39469;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39470;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39471;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39472;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39473;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39495;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39496;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39497;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39498;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39499;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39500;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39501;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39502;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;39503;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40773;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40801;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40803;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40847;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40998;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;40999;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41000;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41001;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41026;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41041;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41062;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41065;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;41066;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42215;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42354;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42444;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42445;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42446;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42516;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42517;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42518;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42519;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42520;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42521;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42522;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42531;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42532;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42533;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42555;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42556;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42557;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42558;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42590;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42591;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42592;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42593;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42595;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42621;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42622;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42623;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42624;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42625;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42644;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42668;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42845;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42958;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42959;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42989;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42990;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42991;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;42992;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43060;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43061;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43062;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43063;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43070;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43119;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43120;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
13;43121;Tukar Faktur;PY-IN-23001049;;2023-01-16;Susilo
