docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
91379;081.007-23.17037402;080.007-23.17037402;302803412;2023-02-13 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302113783
91383;081.007-23.17037406;080.007-23.17037406;302803414;2023-02-13 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302113766
91397;081.007-23.17037419;080.007-23.17037419;302803419;2023-02-13 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302113740
91418;081.007-23.17037439;080.007-23.17037439;302803421;2023-02-13 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302113940
95684;081.007-23.17041601;080.007-23.17041601;302204930;2023-02-21 00:00:00.000;PS0531;ALAN DARMA SAPUTRA;SO202302121692
95685;081.007-23.17041602;080.007-23.17041602;302204931;2023-02-21 00:00:00.000;RS3109;PT KUMPULAN PENCARI KANGTAU;SO202302121693
95687;081.007-23.17041603;080.007-23.17041603;302401180;2023-02-20 00:00:00.000;CT0008;CV. ALSYURAFA;SO202302120734
95690;081.007-23.17041605;080.007-23.17041605;302401181;2023-02-20 00:00:00.000;RS2705;ARLINI SYAH;SO202302120740
95700;081.007-23.17041615;080.007-23.17041615;302401184;2023-02-20 00:00:00.000;RS0369;PT. INTERCONTINENTAL CULINARY;SO202302120776
95707;081.007-23.17041622;080.007-23.17041622;302401186;2023-02-20 00:00:00.000;PS0308;ADINDA FITRANIA;SO202302120779
95709;081.007-23.17041624;080.007-23.17041624;302401188;2023-02-20 00:00:00.000;RS0985;PT. INDOBOGA JAYA KUSUMA;SO202302120790
95711;081.007-23.17041626;080.007-23.17041626;302401189;2023-02-20 00:00:00.000;RS0515;PT. PRESTASI LANCAR ABADI;SO202302120793
95716;081.007-23.17041631;080.007-23.17041631;302401190;2023-02-20 00:00:00.000;PS0284;ANGGA FAJRIAN GUMILAR;SO202302120796
95721;081.007-23.17041636;080.007-23.17041636;302304296;2023-02-20 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302115506
