code;ItemCode;ItemName;InventoryUOM;ItemsGroupCode;U_Group
M;MID03.HAD.095;ALFALFA SEED;KG;110;M-CONFECTIONERY
M;MID03.HAD.004;ALMOND WHOLE;KG;110;M-CONFECTIONERY
A;AAU02.MDF.002;AUS FROZEN RIBEYE MIDFIELD;KG;101;A-MEAT
A;AAU02.MDF.003;AUS FROZEN STRIPLOIN MIDFIELD;KG;101;A-MEAT
A;AAU02.MDF.001;AUS FROZEN TENDERLOIN MIDFIELD;KG;101;A-MEAT
A;AUS.FRZ.COY.001;AUS FRZ STRIPLOIN KILCOY;KG;101;A-MEAT
F;FIN01.LOC.011;BABY OCTOPUS;KG;106;F-CONDIMENT AND SAUCE
M;MID03.HAD.007;BASIL RUBBED AND DRY;KG;110;M-CONFECTIONERY
M;MID03.HAD.008;BAY LEAVES DRIED;KG;110;M-CONFECTIONERY
M;MID03.HAD.024;BIJI CABE TUMBUK / CHILLI CRUSHED;KG;110;M-CONFECTIONERY
M;MID03.HAD.010;BIJI LADA HITAM TUMBUK / BLACK PEPPER CRUSHED;KG;110;M-CONFECTIONERY
M;MID03.HAD.062;BIJI LADA PUTIH UTUH / WHITE PEPPER WHOLE;KG;110;M-CONFECTIONERY
M;MID03.HAD.013;BLACK SESAME SEED;KG;110;M-CONFECTIONERY
M;MID03.HAD.033;BUBUK BAWANG PUTIH / GARLIC POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.042;BUBUK BOMBAY / ONION POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.025;BUBUK CABE / CHILLI POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.034;BUBUK JAHE / GINGER POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.029;BUBUK KARI / CURRY POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.026;BUBUK KAYU MANIS / CINNAMON POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.028;BUBUK KETUMBAR / CORIANDER POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.059;BUBUK KUNYIT / TUMERIC POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.011;BUBUK LADA HITAM / BLACK PEPPER POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.061;BUBUK LADA PUTIH / WHITE PEPPER POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.041;BUBUK PALA / NUTMEG POWDER;KG;110;M-CONFECTIONERY
M;MID03.HAD.044;BUBUK PAPRIKA / PAPRIKA POWDER;KG;110;M-CONFECTIONERY
J;JBU.BBBG.002;BUN BURGER BLACK GIANT;PACK;116;J-PASTRY
M;MID03.HAD.017;BURGHUL COARSE;KG;110;M-CONFECTIONERY
M;MID03.HAD.018;CAJUN MIXED SPICES;KG;110;M-CONFECTIONERY
E;PIT03.PST.501;CASA RINALDI COUSCOUS 500gr;PACK;105;E-GROCERY
E;CR.RICE.002;CASA RINALDI RISOTTO ASPARAGUS 175gr;PACK;105;E-GROCERY
E;CR.RICE.003;CASA RINALDI RISOTTO MILANESE;PACK;105;E-GROCERY
E;CR.RICE.001;CASA RINALDI RISOTTO PORCINI;PACK;105;E-GROCERY
P;PIT03.CASA.102;CASA RINALDI SPAGHETTI NERO SEPPIA;PACK;112;P-CUSTOM GROUP
P;PIT03.CASA.110;CASA RINALDI WHITE TRUFFLE OIL 250ml;PACK;112;P-CUSTOM GROUP
F;SOL.CDY.0007;CDY LEMON DRESSING 1L;PACK;106;F-CONDIMENT AND SAUCE
F;SOL.CDY.0001;CDY LIME DRESSING 500ml;PACK;106;F-CONDIMENT AND SAUCE
B;IDK.CBR.PRO1;CHICKEN BRATWURST PROMO 1KG;KG;102;B-DELICATESSENS
M;MID03.HAD.023;CHICK PEAS;KG;110;M-CONFECTIONERY
E;RAU03.PRB.0005;DRIED CRANBERRIES;KG;105;E-GROCERY
E;MID03.HAD.043;DRIED OREGANO;KG;105;E-GROCERY
E;MID03.HAD.053;DRIED ROSEMARY;KG;105;E-GROCERY
E;MID03.HAD.054;DRIED SAGE;KG;105;E-GROCERY
E;MID03.HAD.058;DRIED THYME;KG;105;E-GROCERY
D;FRZ.BAR.001;FRZ BARAKUDA FILLET;KG;104;D-SEAFOOD
D;CAU01.MUL.009;FRZ DORY FILLET PR;KG;104;D-SEAFOOD
