docentry;docnum;pib;nopen;kodebilling;pph22;pib_nilaipabean;pib_ndpbm;pib_cif2;pib_ntpn;apinvoice
19948 ;220200046 ;00002001360520220214000045;900780;620220200134628;17124000;47651.7;14374;0;9BD9E7L01DLEK9V4;26433
20569 ;220200312 ;04030S01360520220426000729;227120;620220400275653;0;76948.66;10560.93;812649412;;27590
20714 ;220100244 ;04030S01360520220427000734;227117;620220400279759;0;72818.92;14353;1045169959;;27593
20746 ;220200345 ;04030S01360520220426000728;227119;620220400275598;0;110154.28;14353;1581044381;;27594
20756 ;220200346 ;04030S01360520220426000730;227118;620220400274996;0;72899.93;14353;1046332695;;27595
20672 ;220200335 ;04030S01360520220412000704;226128;620220400274537;0;217466.41;14353;3121295383;;27597
20909 ;2040000187 ;00002001360520220510000094;902322;620220500055008;0;75056.91;14353;1077291829.23;;27624
20931 ;2030000371 ;00002001360520220510000092;902321;620220500054851;0;30120.9;14353;432325277.7;;27625
20798 ;220200355 ;00002001360520220511000096;902340;620220500067158;0;82465.02;14353;1183620432.06;;27626
20952 ;2040000209 ;00002001360520220511000098;902342;620220500067523;0;24480.53;10560.93;258537163.693;;27628
20772 ;220200349 ;04030S01360520220428000740;227987;620220400295088;0;72494.87;14353;1040518869;;27629
20710 ;220200339 ;04030S01360520220428000739;227986;620220400294233;0;72899.93;14353;1046332695;;27630
20935 ;2040000199 ;00002001360520220511000095;902339;620220500067105;0;37956.68;14353;544792228.04;;27631
20939 ;2040000202 ;00002001360520220510000093;902319;620220500054930;0;40498.04;14353;581268368.12;;27632
20269 ;220200258 ;00000000012920220425100056;229353;620220500024580;0;17452;15514.3;270336677.5;;27635
20583 ;220200316 ;00000000012920220425100057;229357;620220500027651;0;33213.6;15514.3;515285754.48;;27636
20725 ;220200343 ;04030S01360520220428000738;227989;620220400295616;0;72899.93;14353;1046332695;;27637
20727 ;2030000334 ;00000000012920220504100060;229345;620220500024243;0;25488;14353;365829264;;27638
20857 ;2030000358 ;00002001360520220511000097;902341;620220500067468;0;35919.25;14353;515548995.25;;27639
20908 ;2030000364 ;00000000012920220504100061;240045;620220500077104;0;24300;14441;350916300;;27664
20841 ;220200361 ;04030S01360520220510000754;238271;620220500054868;0;77840;14353;1117237520;;27669
20932 ;2040000198 ;00002001360520220513000099;902376;620220500094189;0;28192.18;14441;407123271.38;;27670
20663 ;2030000324 ;04030S01360520220428000742;233493;620220500023994;0;209669.92;10560.93;2214309348;;27671
20977 ;2030000380 ;00002001360520220517000101;902744;620220500254801;0;32241.55;10277.3;331356081.815;;27687
20652 ;220200328 ;04030S01360520220425000727;229739;620220400274285;0;109846.5;10560.93;1160081197;;27688
21003 ;2050000028 ;00002001360520220517000103;902450;620220500108842;0;23286.14;10277.3;239318646.622;;27690
20811 ;220200357 ;04030S01360520220510000751;238559;620220500046112;0;77500;14353;1112357500;;27691
20864 ;2030000359 ;04030S01360520220511000760;240916;620220500066937;0;164778.07;14441;2379560109;;27692
20653 ;220200329 ;04030S01360520220510000757;240259;620220500063085;0;159244.03;14441;2299643037;;27693
20844 ;220200363 ;04030S01360520220510000749;238268;620220500048190;0;112363.2;14353;1612749010;;27694
20852 ;220200365 ;04030S01360520220511000762;240332;620220500067912;0;69572.16;14441;1004691563;;27695
20489 ;220200290 ;04030S01360520220404000683;243271;620220500076578;0;63592.9;14441;918345069;;27696
20810 ;2030000349 ;04030S01360520220510000750;238563;620220500050814;0;64500;14353;925768500;;27697
20843 ;220200362 ;04030S01360520220509000748;238613;620220500050041;0;77700;14353;1115228100;;27706
20806 ;220200356 ;04030S01360520220509000746;239919;620220500045506;0;129269.21;14353;1855400971;;27707
20929 ;2040000197 ;00002001360520220517000102;902449;620220500109142;0;69778.17;14441;1007666552.97;;27708
20724 ;220200342 ;04030S01360520220427000737;243758;620220500062937;0;72899.93;14441;1052747889;;27717
21006 ;2040000219 ;00002001360520220518000104;902459;620220500127661;0;50919.68;14441;735331098.88;;27718
