sapBPCode;CreditLimit
RS0002;10000000
PC0001;50000000
RS0005;5000000
HT0036;5000000
RS0006;5000000
RS0007;1000000
RS0008;300000
PC0002;1000000
RS0010;50000000
HT0033;350000000
RS0011;2000000
RS0009;5000000
FC0003;1000000
HT0030;200000000
RS0012;5000000
HT0037;10000000
HT0039;30000000
PC0003;1000000
HT0034;10000000
RS0013;5000000
RS0014;5000000
RS0365;2000000
RS0366;5000000
RS0003;50000000
HT0003;30000000
RS0016;0
PC0057;1000000
RS0017;2000000
RS0018;1000000
RS0019;2000000
HT0004;0
HT0020;5000000
HT0005;10000000
DS0001;3000000
PC0004;1000000
PC0005;20000000
RS0020;5000000
RS0021;300000
DS0002;300000
UM0020;1000000
UM0002;1000000
UM0040;5000000
UM0001;5000000
UM0003;1000000
UM0004;5000000
UM0021;5000000
UM0005;1000000
RS0022;30000000
HT0006;5000000
RS0023;1000000
DS0003;3000000
DS0004;10000000
RS0024;5000000
PC0007;1000000
PC0006;5000000
RS0025;7000000
HT0007;50000000
RS0264;1000000
RS0243;1000000
RS0026;1000000
PC0008;1000000
PC0009;1000000
PC0010;1000000
RS0027;100000
RS0028;300000
RS0029;1000000
RS0144;1000000
RS0030;5000000
HT0009;20000000
HT0010;3500000
RS0032;5000000
RS0033;0
RS0037;5000000
UM0007;5000000
UM0046;1000000
UM0006;3000000
PC0012;5000000
PC0013;1000000
PC0014;50000000
PC0015;1000000
RS0038;7000000
PC0016;5000000
RS0039;15000000
PC0017;5000000
RS0040;1000000
RS0041;5000000
UM0008;3000000
RS0042;1000000
PC0018;1000000
PC0055;0
PC0019;1000000
PC0020;500000
PC0021;5000000
RS0044;5000000
RS0045;5000000
RS0046;1000000
RS0047;5000000
RS0048;1000000
RS0049;20000000
RS0051;5000000
RS0066;1000000
RS0067;20000000
RS0068;5000000
RS0054;5000000
RS0069;1000000
RS0070;2000000
PC0025;5000000
RS0063;0
RS0064;0
RS0043;300000
RS0071;500000
RS0334;1000000
RS0073;300000
DS0008;5000000
DS0007;8000000
RS0074;10000000
RS0075;300000
RS0076;5000000
RS0127;5000000
PC0023;1000000
RS0077;10000000
RS0078;1000000
RS0079;5000000
RS0080;1000000
DS0006;5000000
RS0065;10000000
RS0081;7000000
RS0082;2000000
RS0050;5000000
RS0362;5000000
RS0083;5000000
RS0084;1000000
RS0085;15000000
RS0086;5000000
RS0087;1000000
RS0088;300000
RS0089;5000000
RS0090;2000000
RS0091;5000000
RS0092;5000000
HT0013;50000000
HT0012;5000000
RS0242;5000000
RS0093;5000000
RS0094;1000000
RS0095;1000000
RS0096;25000000
PC0026;1000000
PC0027;300000
HT0014;3000000
HT0015;1000000
RS0261;5000000
RS0260;1000000
RS0097;1000000
RS0367;5000000
RS0098;4000000
PC0028;1000000
RS0099;1000000
RS0072;5000000
RS0100;10000000
HT0016;5000000
HT0017;100000000
HT0011;300000
HT0018;5000000
RS0244;5000000
RS0102;0
RS0103;1000000
RS0104;5000000
DS0009;2000000
RS0105;300000
RS0106;2000000
RS0107;5000000
RS0108;5000000
HT0019;70000000
PC0029;2000000
PC0030;30000000
PC0031;1000000
PC0032;20000000
RS0109;5000000
PC0033;200000
RS0110;10000000
RS0111;50000000
RS0112;8000000
RS0113;5000000
RS0114;300000
HT0002;1000000
RS0115;5000000
RS0101;5000000
RS0116;5000000
UM0011;10000000
UM0012;5000000
UM0013;2000000
UM0014;3000000
UM0015;5000000
DS0018;15000000
UM0009;5000000
UM0010;1000000
UM0016;2000000
UM0017;300000
UM0018;300000
UM0019;1000000
UM0044;1000000
UM0045;300000
RS0117;5000000
PC0034;2000000
RS0364;300000
RS0118;5000000
DS0010;10000000
RS0120;20000000
HT0032;5000000
RS0121;300000
RS0122;3000000
RS0119;1000000
RS0123;5000000
DS0005;5000000
RS0124;0
RS0125;60000000
RS0126;1000000
RS0129;0
RS0128;1000000
DS0011;5000000
RS0130;5000000
PC0070;5000000
RS0131;500000
RS0164;1000000
RS0132;5000000
RS0133;5000000
RS0374;5000000
UM0022;1500000
PC0035;1000000
PC0036;20000000
RS0134;1000000
RS0135;500000
PC0037;2000000
PC0038;1000000
PC0039;5000000
PC0041;300000
RS0137;5000000
RS0142;20000000
PC0040;1000000
RS0136;5000000
UM0023;5000000
UM0024;300000
UM0025;5000000
UM0026;5000000
UM0027;1000000
PC0024;1000000
RS0292;5000000
RS0138;2000000
RS0139;10000000
RS0140;1000000
RS0141;1000000
PC0042;1000000
PC0060;1000000
PC0043;1200000
PC0044;11000000
PC0045;1000000
PC0046;1000000
PC0047;5000000
RS0143;300000
PC0048;2000000
CT0001;5000000
CT0002;5000000
HT0021;10000000
RS0145;5000000
PC0049;5000000
PC0050;1000000
RS0146;5000000
HT0023;1000000
RS0148;0
RS0147;2000000
RS0149;10000000
RS0240;5000000
PC0051;1000000
RS0150;15000000
RS0052;1000000
RS0151;20000000
RS0152;2000000
RS0153;2000000
RS0154;300000
RS0155;1500000
HT0024;20000000
RS0249;10000000
RS0156;2500000
RS0157;5000000
RS0246;5000000
DS0012;20000000
HT0025;10000000
RS0158;1000000
PC0052;5000000
RS0061;5000000
CT0003;1000000
UM0028;5000000
DS0013;2000000
RS0159;5000000
DS0015;5000000
RS0160;10000000
RS0161;10000000
RS0163;1000000
UM0029;2000000
UM0030;5000000
DS0016;300000
UM0031;900000000
RS0165;5000000
RS0166;5000000
RS0167;2000000
RS0062;10000000
RS0250;5000000
RS0168;5000000
RS0170;1000000
PC0022;5000000
RS0171;5000000
RS0172;5000000
RS0368;1000000
RS0173;1000000
HT0026;30000000
UM0032;300000
PC0011;5000000
UM0033;300000
RS0174;5000000
RS0252;10000000
RS0034;10000000
RS0176;1000000
RS0175;1000000
RS0177;300000
