sapBPCode;Outlet;Outlet Address
RS0002;1863 RESTAURANT & LOUNGE;JLN. MONGINSIDI 79 SOLO(TIMUR STASIUN BALAPAN)
PC0001;ADLER KAFFEE;Jl. Mertolulutan No.30, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128
RS0005;AFTER SIX RESTAURANT;Jl. Kalilarangan No.23, Jayengan, Serengan, Kota Surakarta
HT0036;AGAS INTERNATIONAL HOTEL (PT. NIKI SAMI MULYA INDAH);Jl. Dr. Muwardi No.44Solo
RS0006;AGENK RESTAURANT;JL. BATURETNO - BATUWARNO, WONOGIRI
RS0007;AIRA RESTAURANT THE PARK;Jl. Ir. Soekarno, Dusun II, Madegondo, Kec. Grogol, Kabupaten Sukoharjo
RS0008;AIRU SUSHI RESTAURANT;Jl. Yososdipuro No.21Solo
PC0002;AJAR NGOPI;JL. DOKTOR SUTOMO NO 21 A PENUMPING
RS0010;ALAMAMA RESTO;Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131 (depan Hotel Novotel Solo)
HT0033;ALANA SOLO (PT. DELTA MERLIN DUNIA PROPERTI);Jl. Adi Sucipto, Blulukan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah
RS0011;ALFREDO CASUAL KITCHEN;"Ruko Permata Hijau 1 No.52 Purwokerto 53121 UP : BPK. ARIGUNO 0811 2622 322"
RS0009;AL GHUROBA;Jl. Aster Raya, Talang Abang, RT 05/11, Sanggrahan, Kec. Grogol, Kabupaten Sukorharjo, Jawa Tengah 57552, Indonesia
FC0003;ALILA HOTEL SOLO (FoC);JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA
HT0030;ALILA HOTEL SOLO (PT. NARENDRA LENTERA ADISAKTI);JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA
RS0012;ALL IN DINE;"JL. CIPTO MANGUNKUSUMO NO. 54 (UTARA SOLO PARAGON) SOLO"
HT0037;ALLIUM CEPU HOTEL (PT.GO CELL INTERNATIONAL);Jalan By Pass Cepu, Balun, Cepu, Megal, Balun, Blora, Kabupaten Blora,
HT0039;ALLURA AZANA RESORT (PT. UNGGUL RESIR CEMERLANG);KALISORO RT003 RW003,KELURAHAN KALISOLO KEC.TAWANGMANGU KAB.KARANGANYAR
PC0003;ALMAMATER;Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126
HT0034;AMARELLO HOTEL (PT. GUNTUR MADU TAMA);JL.GATOT SUBROTO NO 89 - 103DEPAN SINGOSAREN PLAZA SURAKARTA
RS0013;AMIRA SANDWICH & RESTO;Semanggi, Pasar Kliwon, Surakarta
RS0014;AMY BAKERY;"JL. DUWET RAYA NO.8 LAWEYAN DEKAT UMS SURAKARTA"
RS0365;A PIZZA;JL. MARTADINATA NO 95 SOLO(DEPAN KELURAHAN SUDIROPRAJAN)
RS0366;ARJE'S KITCHEN;"JL. ANTARIKSA 3 KENTINGAN JEBRES (SEBELAH BARAT TEMBOK RSJ SOLO) SURAKARTA"
RS0003;ARMEY KITCHEN;Jl. Yos Sudarso Nonongan No.68, Kemlayan, Kec. Serengan, Kota Surakarta
HT0003;ASTON HOTEL SOLO (PT. DUTA MITRA PROPERTINDO);Slamet Riyadi St No.373, Sondakan, Laweyan, Surakarta City, Central Java 57147
RS0016;ATRIA RESTO & CAFE;"Jl. Kartini No. 33 Solo"
PC0057;AWOR COFFEE KLATEN;Jl. Merbabu No. 5 (Sebelum RS Cakra Husada Klaten) Gayamprit, Klaten Selatan, Klaten
RS0017;AYAM-AYAM RESTO KLATEN;"JLN. SOLO-KLATEN KLATEN"
RS0018;AYAM GEPREK ABANG IRENG;"Jl. Suryo 2 No. 51 A Jebres, Surakarta Jawa Tengah"
RS0019;AYAM GEPREK IBU MUMU;Jl. Sutowijoyo No.39, Penumping, Laweyan, Kota Surakarta, Jawa Tengah 57141
HT0004;AYOM JAVA VILLAGE;Gatak,Gajahan,Colomadu,Kabupaten Karanganyar, Jawa Tengah
HT0020;AZHIMA HOTEL BANDARA;BANDARA ADI SUMARMODAERAH GAGAK SIPAT
HT0005;AZIZA HOTEL;JL. KAPTEN MULYADI NO 115PASAR KLIWONSURAKARTA - 57113
DS0001;AZKAYRA FROZEN;KARANGANYAR
PC0004;BABE'S COFFEE;"Jl. Blewah Raya 1 No. 89, Karangasem, Laweyan Surakarta Dekat kampus 4 kedokteran UMS"
PC0005;BABRAK SPACE;JL. BATURAN RAYA. BATURAN KEC COLOMADU KABUPATEN KARANGANYAR
RS0020;BAKE IT;"JL. HONGGOWONGSO NO.29 (SEBELAH AM PM RESTO) SOLO"
RS0021;BAKERY JENNI;"JL. URIP SUMOHARJO NO.102 SOLO"
DS0002;BANDAR AA;"JL. ADI SUCIPTO NO.180 SOLO"
UM0020;BAPAK AJIB;"JL.SEMANGGI RT/3 RW/3 pasar kliwon (Lampu merah pasar kliwon ke Timur)"
UM0002;BAPAK ALEX;SOLO
UM0040;BAPAK ANGGA;SOLO
UM0001;BAPAK HARTONO;SOLO
UM0003;BAPAK JOKO SLAMETO;Jl. Pattimura No. 153 SerenganSolo Jawa Tengah
UM0004;BAPAK RONI;SOLO
UM0021;BAPAK SIGIT;SOLO
UM0005;BAPAK WIJIYANTO;PERUM GRIYA KENCANA I/B4 GUMPANG KARTASURA
RS0022;BARON HOUSE;Jl. Srinarendro No.3, Bumi, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148
HT0006;BARON INDAH HOTEL;Jl. Dr. Radjiman No.392, Laweyan, Kota Surakarta, Jawa Tengah 57141
RS0023;BBQIU FUSION GRILL HOUSE;Purwosari, Laweyan, Surakarta
DS0003;BEANS AND CO;Jl. Padmonegoro No.44, Danukusuman, Kec. Serengan, Kota Surakarta
DS0004;BEEF BRO MEATSHOP SOLO;JL.RAYA SOLO BAKI NO A5 SUKOHARJO JAWA TENGAH
RS0024;BEE SQUARE;JALAN PAKEL NO NO 40 BELAKANG FAVE HotelMANAHAN SOLO
PC0007;BENOWO KOPI;Jl. Adi Sucipto No.117 JajarKec. LaweyanKota Surakarta
PC0006;BERANDA RUMAH;JL.SIWALAN NO.45B KERTEN
RS0025;BESALI RESTO (PT.SINERGI COLOMADU);JL.ADISUJIPTO MALANG JIWAN COLOMADU
HT0007;BEST WESTERN SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);Jl. Ir. Soekarno, Dusun II, Madegondo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552
RS0264;BIG BEEF;SOLO
RS0243;BIG BRO;Jl. Adi Sucipto No.154, Blulukan, Colomadu
RS0026;BLACK ARION;JL. ADI SUMARMO NO 196, SAWAH GEDONGAN, KEC . COLOMADU , KABUPATEN KARANGANYAR. 557173
PC0008;BLACKBIRD COFFEE;Jl. Gatot Subroto No.35, Singosaren, Kemlayan, Serengan
PC0009;BLACK BIRD COFFE SOLO;JL.GATOT SUBROTO NO 35 SINGOSAREN KEMLAYAN SERENGAN
PC0010;BLACKBIRD PALUR;Jl. Raya Palur No.50, Banaran, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731
RS0027;BLI KADEK SOLO;SOLO
RS0028;BLONJO KUE;"PERUM. SONGGOLANGIT JL. EMPU PANULUH NO.7 SOLO"
RS0029;BOBA TIME;"Jl. Kartika No.1 Jebres Kec. Jebres Kota Surakarta"
RS0144;BOSSGRILL AND BBQ;"Jl. Kemuning Blok J No. 7 Perum Puri Gading Grogol Sukoharjo"
RS0030;BROTHERHOOD;Jalan Menteri Supeno No.3A, Manahan, Banjarsari
HT0009;BROTHERS HOTEL SOLO;JLN. IR. SUKARNO BLOCK AC.25 SOLO BARU(DEPAN CARREFOUR SOLO BARU)
HT0010;BROTHERS INN;Jl. Raya Djlopo Blok GP No. 73, Dusun 2, Gedangan, Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552
RS0032;BUANA LOUNGE;Sawah, Tohudan, Colomadu, Kabupaten Karanganyar, Jawa Tengah
RS0033;BUBBLES RESTO;"JL MENTRI SUPENO NO.6. MANAHAN SOLO"
RS0037;BU INDRA ROTI BAKAR 543;JL. KALILARANGAN NO.8 SURAKARTA (SAE LAUNDRY)
UM0007;BU MARISA (MARISA FINISHING);"Dayung Kwarasan, Grogol, Sukoharjo (MARISA FINISHING)"
UM0046;BU NOVI;SOLO
UM0006;BU RATIH (PARU);JLN. LATAR IRENG BARENGKLATEN
PC0012;BURGER DAN KOPI LAWE;"Jl. Perintis Kemerdekaan, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147 (KOPI LAWE)"
PC0013;BUTLER COFFEE BOUTIQUE;Jl. Ronggowarsito No.171, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131
PC0014;CAFE AT EDEN;Dusun III Madegondo, Grogol, Sukoharjo
