code;itemcode;itemname;disc;servicefee
1;IUS2NAT009;Natalie's Tangerine Juice Fresh Frozen 250 Ml - Indoguna;0.025;2.5
2;IUS2NAT008;Natalie's Orange Juice Fresh Frozen 250 Ml - Indoguna;0.025;2.5
3;IUS2NAT005;Natalie's Orange Beet Juice Fresh Frozen;0.025;2.5
4;EID1MIU003;Kimchi Halal 600 Gr;0.025;2.5
5;EID3KEW037;KEWPIE HONEY MUSTARD SAUCE;0.031;3.1
6;EID2KEW008;KEWPIE JAPANESE CURRY SAUCE;0.031;3.1
7;EID3KEW013;KEWPIE SUSHI SEASONING;0.031;3.1
8;EID3KEW011;KEWPIE YOGHURT MAYO;0.031;3.1
9;FID3KEW016;KEWPIE GRATED ONION;0.031;3.1
10;EID2KEW009;KEWPIE EGG MAYO;0.031;3.1
11;AID2OLS078;Daging Slice Murah - Untuk Shabu Shabu dan Yakiniku;0.031;3.1
12;EID3KEW033;KEWPIE NANBAN SAUCE;0.031;3.1
13;EID2KEW006;KEWPIE GOCHUJANG KOREAN SAUCE;0.031;3.1
14;EID3KEW021;KEWPIE ONION & MAYO MAYONNAISE;0.031;3.1
15;EIT3DEC040;DE CECCO SUGO ALLA' NAPOLETANA - PASTA TOMATO SAUCE;0.031;3.1
16;EIT3DEC039;DE CECCO SUGO ALL'ARRABBIATA - PASTA TOMATO SAUCE;0.031;3.1
17;AID2OLS088;Pomosi Akhir Tahun - Daging Sapi Murah 1Kg;0.031;3.1
18;AID2LOC084;AUS RIBEYE GRAIN FED PRIME CUT STEAK 300GR;0.031;3.1
19;AID2LOC083;AUS RIBEYE GRAIN FED PRIME CUT STEAK 200GR;0.031;3.1
20;AID2LOC082;WAGYU RIBEYE GRASS FED HORMONE & ANTIBIATIC FREE MB5 CUT STEAK 300GR;0.031;3.1
21;AID2LOC081;WAGYU TOPSIDE MB 9+ BLACKMORE CUT YAKINIKU 250GR;0.031;3.1
22;AID2LOC080;WAGYU STRIPLOIN MB 4-5 HORMONE & ANTIBIOTIC FREE CUT STEAK 300GR;0.031;3.1
23;BID2IGU109;BAKSO AYAM REGULAR 1 KG / REGULAR CHICKEN MEATBALL;0.031;3.1
24;BID2IGU128;BAKSO SAPI REGULAR 1 KG/ REGULAR MEATBALL;0.031;3.1
25;GCN2XJR010;MIXED PEPPER (PAPRIKA) SLICE 1 KG;0.031;3.1
26;GCN2XJR009;SHITAKE MUSHROOM SLICE 1KG;0.031;3.1
27;AID2LOC078;DAGING SOP IGA 250GR - US SHORT RIB B/IN;0.031;3.1
28;BID2IGU129;CHICKEN SAUSAGE REGULAR 1KG - SOSIS AYAM REGULER;0.031;3.1
29;EIT3DEC016;DE CECCO CONCHIGLIE RIGATE 500GR;0.031;3.1
30;EKR3BAN007;BAN-DARAN BLACK SESAME PORRIDGE;0.031;3.1
31;EKR3BAN005;BAN-DARAN SWEET PUMPKIN PORRIDGE;0.031;3.1
32;EKR3BAN008;BAN-DARAN SWEET RED BEAN PORRIDGE;0.031;3.1
33;EKR3BAN006;BAN-DARAN NUTS PORRIDGE;0.031;3.1
34;FIT3SAL001;SALVADORI EXTRA VIRGIN OLIVE OIL 1 Liter dari Italia ;0.031;3.1
35;AID2OLS126;NZ Ribeye GF Slice Shabu-shabu 250 GR *FLASH SALE*;0.031;3.1
36;AID2LOC075;AUS STRIPLOIN ORGANIC HORMONE & ANTIBIOTIC FREE 200GR *FLASH SALE*;0.031;3.1
37;AID2OLS057;US Ribeye Lip On Prime cut Steak 200 GR *Flash Sale*;0.031;3.1
38;AID2LOC077;RIBEYE REGULAR BEEF SLICE SHABU 250GR;0.031;3.1
39;GID2LOC001;KENTANG TATER ROUNDABOUTS/HASHBROWN 250GR;0.031;3.1
40;AID2OLS001;US Shortplate Beef Slice /pack +-500 Gram *FLASH SALE*;0.031;3.1
41;FIT3IFF008;HULALA ITALIAN BECHAMEL/BESCIAMELLA CREAM 200ML;0.031;3.1
42;AID2LOC075;AUS STRIPLOIN ORGANIC HORMONE & ANTIBIOTIC FREE CUT STEAK 200GR;0.031;3.1
43;AID2LOC076;AUS RIBEYE ORGANIC HORMONE & ANTIBIOTIC FREE CUT STEAK 200GR;0.031;3.1
44;AID2LOC072;DAGING GILING REGULAR 250GR/ GROUND BEEF REGULAR 250GR;0.031;3.1
45;EIT3GFL016;SPAGHETTI - GAROFALO PASTA 500GR;0.031;3.1
46;AID2LOC073;US CHUCK EYE ROLL PRIME CUT YAKINIKU 250GR;0.031;3.1
47;AID2OLS077;US CHUCK EYE ROLL PRIME CUT SHABU 250GR;0.031;3.1
48;AID2LOC074;US RIBEYE ROLL NR BLACK ANGUS CUT STEAK 250GR;0.031;3.1
49;AID2LOC071;WAGYU CHUCK TENDER MB 8-9 CUT SHABU 250GR;0.031;3.1
50;AID2LOC070;WAGYU RUMP CAP MB 4-5 CUT STEAK 150GR;0.031;3.1
51;AID2LOC061;US TRI TIP PRIME CUT STEAK 150 GR;0.031;3.1
52;FIT3IFF004;HULALA ITALIAN PRISTINE COOKING GRAN CUCINA 1L;0.031;3.1
53;FIT3IFF009;HULALA ITALIAN WHIPPING CREAM SPRAY 250GR;0.031;3.1
