ITEM CODE;NAMA ITEM;BIAYA LAYANAN 2023;ServiceFee
EID3KEW037;KEWPIE HONEY MUSTARD SAUCE;0.0310;3.1
EID2KEW008;KEWPIE JAPANESE CURRY SAUCE;0.0310;3.1
EID3KEW013;KEWPIE SUSHI SEASONING;0.0310;3.1
EID3KEW011;KEWPIE YOGHURT MAYO;0.0310;3.1
FID3KEW016;KEWPIE GRATED ONION;0.0310;3.1
EID2KEW009;KEWPIE EGG MAYO;0.0310;3.1
AID2OLS078;Daging Slice Murah - Untuk Shabu Shabu dan Yakiniku;0.0310;3.1
EID3KEW033;KEWPIE NANBAN SAUCE;0.0310;3.1
EID2KEW006;KEWPIE GOCHUJANG KOREAN SAUCE;0.0310;3.1
EID3KEW021;KEWPIE ONION & MAYO MAYONNAISE;0.0310;3.1
EIT3DEC040;DE CECCO SUGO ALLA' NAPOLETANA - PASTA TOMATO SAUCE;0.0310;3.1
EIT3DEC039;DE CECCO SUGO ALL'ARRABBIATA - PASTA TOMATO SAUCE;0.0310;3.1
AID2OLS088;Pomosi Akhir Tahun - Daging Sapi Murah 1Kg;0.0310;3.1
AID2LOC084;AUS RIBEYE GRAIN FED PRIME CUT STEAK 300GR;0.0310;3.1
AID2LOC083;AUS RIBEYE GRAIN FED PRIME CUT STEAK 200GR;0.0310;3.1
AID2LOC082;WAGYU RIBEYE GRASS FED HORMONE & ANTIBIATIC FREE MB5 CUT STEAK 300GR;0.0310;3.1
AID2LOC081;WAGYU TOPSIDE MB 9+ BLACKMORE CUT YAKINIKU 250GR;0.0310;3.1
AID2LOC080;WAGYU STRIPLOIN MB 4-5 HORMONE & ANTIBIOTIC FREE CUT STEAK 300GR;0.0310;3.1
BID2IGU109;BAKSO AYAM REGULAR 1 KG / REGULAR CHICKEN MEATBALL;0.0310;3.1
BID2IGU128;BAKSO SAPI REGULAR 1 KG/ REGULAR MEATBALL;0.0310;3.1
GCN2XJR010;MIXED PEPPER (PAPRIKA) SLICE 1 KG;0.0310;3.1
GCN2XJR009;SHITAKE MUSHROOM SLICE 1KG;0.0310;3.1
AID2LOC078;DAGING SOP IGA 250GR - US SHORT RIB B/IN;0.0310;3.1
BID2IGU129;CHICKEN SAUSAGE REGULAR 1KG - SOSIS AYAM REGULER;0.0310;3.1
EIT3DEC016;DE CECCO CONCHIGLIE RIGATE 500GR;0.0310;3.1
EKR3BAN007;BAN-DARAN BLACK SESAME PORRIDGE;0.0310;3.1
EKR3BAN005;BAN-DARAN SWEET PUMPKIN PORRIDGE;0.0310;3.1
EKR3BAN008;BAN-DARAN SWEET RED BEAN PORRIDGE;0.0310;3.1
EKR3BAN006;BAN-DARAN NUTS PORRIDGE;0.0310;3.1
FIT3SAL001;SALVADORI EXTRA VIRGIN OLIVE OIL 1 Liter dari Italia ;0.0310;3.1
AID2OLS126;NZ Ribeye GF Slice Shabu-shabu 250 GR *FLASH SALE*;0.0310;3.1
AID2LOC075;AUS STRIPLOIN ORGANIC HORMONE & ANTIBIOTIC FREE 200GR *FLASH SALE*;0.0310;3.1
AID2OLS057;US Ribeye Lip On Prime cut Steak 200 GR *Flash Sale*;0.0310;3.1
AID2LOC077;RIBEYE REGULAR BEEF SLICE SHABU 250GR;0.0310;3.1
GID2LOC001;KENTANG TATER ROUNDABOUTS/HASHBROWN 250GR;0.0310;3.1
AID2OLS001;US Shortplate Beef Slice /pack +-500 Gram *FLASH SALE*;0.0310;3.1
FIT3IFF008;HULALA ITALIAN BECHAMEL/BESCIAMELLA CREAM 200ML;0.0310;3.1
AID2LOC075;AUS STRIPLOIN ORGANIC HORMONE & ANTIBIOTIC FREE CUT STEAK 200GR;0.0310;3.1
AID2LOC076;AUS RIBEYE ORGANIC HORMONE & ANTIBIOTIC FREE CUT STEAK 200GR;0.0310;3.1
AID2LOC072;DAGING GILING REGULAR 250GR/ GROUND BEEF REGULAR 250GR;0.0310;3.1
EIT3GFL016;SPAGHETTI - GAROFALO PASTA 500GR;0.0310;3.1
AID2LOC073;US CHUCK EYE ROLL PRIME CUT YAKINIKU 250GR;0.0310;3.1
AID2OLS077;US CHUCK EYE ROLL PRIME CUT SHABU 250GR;0.0310;3.1
AID2LOC074;US RIBEYE ROLL NR BLACK ANGUS CUT STEAK 250GR;0.0310;3.1
FUS3FIS011;ABC SNACKS PIZZA BALLS 85GR;0.0380;3.8
FUS3FIS009;ABC SNACK CHEESE BALL 85GR;0.0380;3.8
AID2LOC071;WAGYU CHUCK TENDER MB 8-9 CUT SHABU 250GR;0.0310;3.1
AID2LOC070;WAGYU RUMP CAP MB 4-5 CUT STEAK 150GR;0.0310;3.1
AID2LOC061;US TRI TIP PRIME CUT STEAK 150 GR;0.0310;3.1
FIT3IFF004;HULALA ITALIAN PRISTINE COOKING GRAN CUCINA 1L;0.0310;3.1
FIT3IFF009;HULALA ITALIAN WHIPPING CREAM SPRAY 250GR;0.0310;3.1
FIT3IFF003;HULALA ITALIAN WHIPPING CREAM (varian 200ml, 500ml, 1l);0.0310;3.1
FIT3IFF001;;0.0310;3.1
FIT3IFF002;;0.0310;3.1
DNO2FOS001;NORWEGIAN SMOKE TROUT SLICED 1.1KG UP;0.0310;3.1
AID2LOC057;AUS TENDERLOIN SLICED SHABU 250GR;0.0310;3.1
BID2IGU144;EL PRIMO Veal Bratwurst Sausage 500GR;0.0310;3.1
AID2LOC059;AUS PREMIUM RIBEYE MB4 CUT STEAK 300GR;0.0310;3.1
AID2LOC060;AUS STRIPLOIN PREMIUM MB 2+ PINACLE HORMONE ANTIBIOTIC FREE - 200GR;0.0310;3.1
AID2OLS078;US SHORT RIB B/IN CUT CUBE 500GR;0.0310;3.1
DID2MML011;IKAN DORI FILLET 1KG;0.0310;3.1
BID2IGU103;EL PRIMO BEEF RASHER/ DAGING SAPI ASAP 500GR;0.0310;3.1
AID2LOC058;DAGING GILING 1KG/ GROUND BEEF REGULAR 1KG;0.0310;3.1
AID2LOC055;PARU 1 KG / DAGING PARU SAPI 1 KG;0.0310;3.1
GID2TAS004;TASTY FRIES SHOESTRING PLAIN 900GR/ KENTANG GORENG BEKU SHOESTRING;0.0310;3.1
AID2LOC054;WAGYU RIBEYE CAP MB 4 CUT STEAK 150GR;0.0310;3.1
AID2OLS093;AUS RUMP CAP PICANHA CUT STEAK 150GR END CUT;0.0310;3.1
AID2LOC053;AUS CHUCK CREST GRADE S CUT SHABU 250GR;0.0310;3.1
EKR3NUT005;NUTS HOLIC ALMOND HOT & SPICY 240GR;0.0380;3.8
EKR3NUT003;NUTS HOLIC ALMOND STRAWBERRY 240 GR (BOX);0.0380;3.8
EKR3NUT001;NUTS HOLIC ALMOND HONEY BUTTER 240 GR (BOX);0.0380;3.8
EIT3BAL006;BALCONI WAFER VANILLA 175 GR - INDOGUNA;0.0380;3.8
EIT3BAL004;BALCONI WAFER CHOCOLATE 175 GR - INDOGUNA;0.0380;3.8
EIT3BAL005;BALCONI WAFER HAZELNUT 175 GR - INDOGUNA;0.0380;3.8
EKR3NUT002;NUTS HOLIC ALMOND HOT & SPICY 180GR;0.0380;3.8
EKR3NUT001;NUTS HOLIC ALMOND HONEY BUTTER 180GR;0.0380;3.8
EKR3NUT003;NUTS HOLIC ALMOND STRAWBERRY 180GR;0.0380;3.8
DID2WBS010;SEA COLD SMALL SHRIMP/PRAWN/UDANG KECIL SEA COLD FROZEN 1 KG- INDOGUNA;0.0310;3.1
DID2WBS008;SEA COLD SHRIMP/PRAWN/UDANG SEA COLD BESAR FROZEN 1 KG - INDOGUNA;0.0310;3.1
DID2MML006;TUNA SAKU 300-380GR - INDOGUNA;0.0310;3.1
DID2OLS002;SALMON FILLET CUT 200GR;0.0310;3.1
AID2OLS144;AUS WAGYU DECKLE BLACK ANGUS MB 4 CUT SHABU 250 GR - INDOGUNA;0.0310;3.1
AID2OLS145;AUS WAGYU DECKLE BLACK ANGUS MB 4 CUT YAKINIKU 250 GR - INDOGUNA;0.0310;3.1
GID2OLS006;TATER PUFF INDOGUNA 500 GR;0.0310;3.1
GID2OLS005;HASHBROWN INDOGUNA 500GR;0.0310;3.1
AID2OLS123;US Short Rib Boneless Cut Shabu 250 Gr - Indoguna;0.0310;3.1
AID2OLS143;AUS VEAL HINDSHANK 500G;0.0310;3.1
AID2OLS142;NZ STRIPLOIN PS GRASS FED HORMONE&ANTIBIOTIC FREE SLICE SHABU 250GR;0.0310;3.1
AID2OLS141;DAGING SOP PENGGANTI BUNTUT/OXTAIL 500GR;0.0310;3.1
AID2OLS132;AUS RIBEYE GRAIN FED BACHELOR CUT STEAK 200GR - Indoguna;0.0310;3.1
AID2OLS133;NZ PS Striploin MB 4+ Premium Wet Aged 55 Days Slice Shabu - Indoguna;0.0310;3.1
AID2OLS140;AUS BRISKET NE S SLICE SHABU 250GR - Indoguna;0.0310;3.1
AID2OLS134;AUS WAGYU SHORT RIB BONELESS MB 3 CUT SHABU 250GR - INDOGUNA;0.0310;3.1
AID2OLS125;JAPANESE WAGYU CHUCK EYE ROLL A4 MB 6 SLICE SHABU 150GR - INDOGUNA;0.0310;3.1
AID2OLS124;JAPANESE WAGYU CHUCK EYE ROLL A4 MB 6 CUT YAKINIKU 150GR - INDOGUNA;0.0310;3.1
AID2OLS138;NZ TENDERLOIN GRASS FED HORMONE & ANTIBIOTIC FREE -Indoguna;0.0310;3.1
AID2OLS139;NZ RIBEYE GROUND BEEF HORMONE & ANTIBIOTIC FREE 500GR - Indoguna;0.0310;3.1
AID2OLS129;AUS Wagyu Striploin MB4 Shabu-shabu 250gr - Indoguna;0.0310;3.1
AID2OLS136;AUS Wagyu Striploin MB4 Shabu-shabu 250gr - Indoguna;0.0310;3.1
