code;itemname;groups;jenis;kode;ppnsales;ppnpurchsae
DID2BOT001;BOTAN FROZEN EBI HEAD ON SPOT PRAWN 21/25 KG;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP001;837 IQF Vannamei Shrimp Nugget FSTAS (8x1kg);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP002;836 IQF Vannamei Shrimp Cutlet FSTAS (8x1kg);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP003;839 IQF Vannamei Shrimp Roll FSTAS (8x1kg);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP004;944 IQF VANNAMEI HLSO 31/40 300G/PACK;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP005;380 IQF VANNAMEI PDTO 31/40 (1X10);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP006;939 FRESH IQF VANNAMEI COOKED PDTO 31/40 300G/PACK;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP007;835 IQF Vannamei Seafood Stix FSTAS (8x1kg);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP008;829 IQF VANNAMEI PND T1 31/40 (1X10);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP009;923 IQF VANNAMEI HOSO BLOCK 41/50 (1.5X6);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP010;752 IQF VANNAMEI HLSO T1 31/40 (1X10);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP011;938   FROSH  IQF Vannamei  Raw PND 31-40/lbs, 300gr/pack;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2CPP017;IQF VANNAMEI PND 91/120 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2LOC004;MADAGASCAR IQF TIGER PRAWN 35/40 HEAD ON 6X2KG;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2MML009;IQF VANNAMEI SHRIMP PND SIZE 91-120 10X1KG;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2MML013;IQF VANNAMEI SHRIMP PND SIZE 60-70 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2MML014;FRZ SUSHI EBI 3L, 20-22PCS/PACK, 20PACK/CTN;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2MML015;IQF VANNAMEI SHRIMP PND SIZE 31-40;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2TTI003;UDANG KUPAS 500GR PACK - TTI;D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS001;IQF RAW BLACK TIGER HOSO SHRIMP 8/12 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS002;IQF RAW BLACK TIGER HOSO SHRIMP SIZE 10-15 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS003;IQF RAW BLACK TIGER HOSO SHRIMP SIZE 21-25 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS004;IQF RAW BLACK TIGER HLSO SHRIMP SIZE 21/25 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS006;IQF RAW VANNAMEI SHRIMP HOSO SIZE 31-40 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS007;IQF RAW VANNAMEI SHRIMP PD SIZE 31-40 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS008;IQF RAW VANNAMEI SHRIMP HLSO SIZE 31-40 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS009;IQF RAW VANNAMEI SHRIMP PDTO SIZE 31-40 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS010;IQF RAW VANNAMEI SHRIMP PD SIZE 90-120 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DID2WBS011;IQF RAW VANNAMEI SHRIMP HLSO SIZE 60-70 (10X1KG);D-SEAFOOD;16-Barang Hasil Kelautan dan Perikanan - Udang;16;PPNS8_16;PPNM8_16
DAU1HUO001;TASMANIAN FRESH SALMON 3-4 KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU1HUO002;TASMANIAN FRESH SALMON 4-5 KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU1HUO003;TASMANIAN FRESH SALMON 5-7 KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU1MUL001;CHILLED PETUNA OCEAN TROUT HOG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU1MUL002;FRESH YELLOWTAIL KINGFISH 3.5-5KG WHOLE ROUND;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU2PTN002;TASMANIAN FRZ ATLANTIC SALMON H/ON 3-5KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU2PTN003;FROZEN SALMON FILLET;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU2PTN004;FRZ SALMON PORTION 220-240g SKIN ON PIN BONE OUT IW VAC;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DAU5PTN001;TASMANIAN FRESH OCEAN TROUT;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCA1MAR001;CAN FRESH SALMON SIZE 4-6KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCA2MIL002;CAN IQF SCALLOP 20/30;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2AQU001;CHILEAN FRZ ATLANTIC SALMON HEAD ON;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2LAM001;CHILEAN SEABASS 3-4;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2MAR001;FROZEN SALMON HEAD LESS;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2NOB001;CHILEAN FROZEN SALMON COHO H/LESS GUTTED;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2PCF001;FROZEN SALMON HEAD LESS;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2PCF002;FROZEN SALMON HEAD LESS;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2TRU001;NORWEGIAN FROZEN SALMON TROUT H/LESS SIZE 3.6-4.5KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DCL2TRU002;FROZEN SALMON TROUT H/LESS;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2CPP013;FROZEN PANGASIUS FISH 2X5KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2CPP014;FROZEN PANGASIUS FILLET GRADE A NBL SZ-4;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2CPP015;FROZEN PANGASIUS FILLET GRADE A NBL SZ-3;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2CPP016;FROZEN PANGASIUS FILLET GRADE A NBL SZ-5;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2CPP018;FROZEN PANGASIUS ECO 2X5KG;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2DME001;FROZEN PANGASIUS GRADE A;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2IMG001;Norw. Salmon Bone;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2IMG002;Frz. Salmon Skin 500gr;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2IMG003;Frz. Salmon Steak;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
DID2IMG004;Frz Salmon Tail;D-SEAFOOD;18-Ikan (tidak termasuk Ikan Hias);18;PPNS8_18;PPNM8_18
