code;itemname;groups;jenis;kode;ppnsales;ppnpurchsae
AID2LOC071;FRZ WAGYU CHUCK TENDER MB 8-9 CUT SHABU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC076;AUS RIBEYE ORGANIC CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC061;US PRIME TRITIP CUT STEAK 150GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC107;AUS WAGYU TENDERLOIN MB 4 CUT STEAK;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC052;AUS CHUCK CREST GRADE S CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC059;BEEF PREMIUM RIBEYE MB4 300GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC060;AUS STRIPLOIN PR GRASS FED MB2+ PINNACLE 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC073;US PRIME CHUCK EYE ROLL CUT YAKINIKU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC075;AUST STRIPLOIN ORGANIC CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC078;US SHORT RIB BONE IN CUT PER RUAS 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC087;BUFFALO SIRLOIN CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC105;AUS STRIPLOIN PR GRAIN FED CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC108;AUS WAGYU KNUCKLE MB 6-7 CUT YAKINIKU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC077;RIBEYE SLICE SHABU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC083;AUS GRAINFED RIBEYE CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC085;DAGING 95CL LOW FAT 1 KG;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC088;BRAZIL RIBEYE CUT STEAK 200GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC053;AUS CHUCK CREST GRADE S CUT SHABU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC055;AUS BEEF LUNG (PARU) 1KG;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC058;GROUND BEEF 85 CL 1KG;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC081;WAG TOPSIDE BLACKMORE SLICE YAKINIKU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC086;AUS WAGYU KARUBI PLATE MB8-9 CUT YAKINIKU 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC106;AUS STRIPLOIN WAGYU GRAINFED MB 7 CUT STEAK 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC110;AUS WAGYU KNUCKLE MB 6-7 CUT SHABU;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC054;WAGYU RIBEYE CAP MB4 CUT STEAK 150GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC080;WAGYU STRIPLOIN HARVEY MB 4-5 CUT STEAK 300GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC082;WAGYU RIBEYE GRASS FED CUT STEAK 300GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC084;AUS GRAINFED RIBEYE CUT STEAK 300GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC109;AUS WAGYU KNUCKLE MB 6-7 CUT STEAK  150GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC070;FRZ WAGYU RUMP CAP MB 4-5 CUT 150GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC072;GROUND BEEF MIDFIELD 85CL 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC074;US NR RIBEYE ROLL CUT STEAK 250GR;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
AID2LOC079;AUS FRZ WAGYU NAMI KARUBI PLATE 8-9 JCK 150GR/PACK;A-MEAT;50-Daging;50;PPNS8_50;PPNM8_50
