sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0201;102.193;PALM RESTO;PALM RESTO;Restaurant;80;300000;0;4
RS0202;102.195;PALMYRA RESTAURANT;PALMYRA RESTAURANT;Restaurant;81;300000;14;4
FC0003;113.002;ALILA HOTEL SOLO (FoC);ALILA HOTEL SOLO (FoC);FC;77;1000000;30;4
PC0003;102.047;ALMAMATER;ALMAMATER;Coffee Shop;77;1000000;0;4
RS0025;102.209;BESALI RESTO (PT.SINERGI COLOMADU);PT.SINERGI COLOMADU;Restaurant;77;7000000;30;4
PC0008;114.007;BLACKBIRD COFFEE;BLACKBIRD COFFEE;Coffee Shop;77;1000000;0;4
HT0010;101.015;BROTHERS INN;BROTHERS INN;Hotel;77;3500000;0;4
UM0006;115.02;BU RATIH (PARU);BU RATIH (PARU);Umum;77;3000000;0;4
RS0038;102.062;CALIFORNIA FISH KITCHEN;CALIFORNIA FISH KITCHEN;Restaurant;77;7000000;0;4
RS0042;106.008;CLOUD SUPPLY (PT. ASCARYA GLOBAL);PT. ASCARYA GLOBAL;Restaurant;77;1000000;0;4
RS0044;102.304;COZE RESTO;COZE RESTO;Restaurant;77;5000000;0;4
RS0069;102.01;DBROTHER;DBROTHER;Restaurant;77;1000000;0;4
RS0043;102.267;DE'COFFIE TENTREM;DE'COFFIE TENTREM;Restaurant;77;300000;0;4
DS0007;104.001;DHAMA ALILA;DHAMA ALILA;Distributor;77;8000000;0;4
PC0023;114.097;DON COFFE;DON COFFE;Coffee Shop;77;1000000;0;4
DS0006;106.013;DUTA RASA MEATSHOP;DUTA RASA MEATSHOP;Distributor;77;5000000;0;4
RS0362;102.096;EGGPERIANCE;EGGPERIANCE;Restaurant;77;5000000;7;4
RS0087;102.091;ERIGO;ERIGO;Restaurant;77;1000000;14;4
RS0092;102.099;EXECUTIVE KARAOKE;EXECUTIVE KARAOKE;Restaurant;77;5000000;14;4
RS0094;102.104;FITSARIA SRAGEN;FITSARIA SRAGEN;Restaurant;77;1000000;7;4
HT0014;101.017;FRONT ONE HOTEL (PT. ADI SUMARMO ADI GUNA);PT. ADI SUMARMO ADI GUNA;Hotel;77;3000000;7;4
RS0104;114.024;GULA BATU;GULA BATU;Restaurant;77;5000000;0;4
RS0108;102.014;HAPPY TUTI;HAPPY TUTI;Restaurant;77;5000000;28;4
UM0014;115.057;IBU DEWI;IBU DEWI;Umum;77;3000000;14;4
UM0017;115.041;IBU PARTINI;IBU PARTINI;Umum;77;300000;0;4
RS0364;102.119;ILALANG RESTO;ILALANG RESTO;Restaurant;77;300000;0;4
RS0121;102.118;INTRO LOUNGE AND RESTO;INTRO LOUNGE AND RESTO;Restaurant;77;300000;30;4
RS0124;113.001;JAVA TERRACE KITCHEN & BAR (FoC);JAVA TERRACE KITCHEN & BAR (FoC);Restaurant;77;0;0;4
DS0011;106.004;JURAGAN FROZEN (MBA NINIS);JURAGAN FROZEN (MBA NINIS);Distributor;77;5000000;30;4
RS0132;102.016;KAMPUNG CAHAYA;KAMPUNG CAHAYA;Restaurant;77;5000000;0;4
PC0040;114.003;KELANA COFFE;KELANA COFFE;Coffee Shop;77;1000000;7;4
UM0026;115.011;KERIPIK PARU SARI ROSO (I);KERIPIK PARU SARI ROSO (I);Umum;77;5000000;0;4
RS0292;102.132;KHENG HOUSE;KHENG HOUSE;Restaurant;77;5000000;0;4
PC0042;102.015;KOLONIAL;KOLONIAL;Coffee Shop;77;1000000;14;4
RS0143;102.128;K PATATS SOLO;K PATATS SOLO;Restaurant;77;300000;0;4
RS0145;102.147;LA CASETTA;LA CASETTA;Restaurant;77;5000000;14;4
PC0050;114.051;LA JAVA KEPATIHAN;LA JAVA KEPATIHAN;Coffee Shop;77;1000000;30;4
