bincode,AbsEntry
B1F01-R00-00-00,62
B1F02-R00-00-00,63
B1F03-R00-00-00,64
B1F04-R00-00-00,65
B1F05-R00-00-00,66
B1F06-R00-00-00,67
B1F07-R00-00-00,68
B1F07-R00-00-A1,69
B1F07-R00-00-A2,70
B1F07-R00-00-B1,71
B1F07-R00-00-B2,72
B1F07-R00-00-C1,73
B1F07-R00-00-C2,74
B1F07-R00-00-D1,75
B1F07-R00-00-D2,76
B1F07-R00-00-E1,77
B1F07-R00-00-E2,78
B1F07-R00-00-F1,79
B1F07-R00-00-F2,80
B1F07-R00-00-G1,81
B1F07-R00-00-G2,82
B1F07-R00-01-00,83
B1F07-R00-01-A1,84
B1F07-R00-01-A2,85
B1F07-R00-01-B1,86
B1F07-R00-01-B2,87
B1F07-R00-01-C1,88
B1F07-R00-01-C2,89
B1F07-R00-01-D1,90
B1F07-R00-01-D2,91
B1F07-R00-01-E1,92
B1F07-R00-01-E2,93
B1F07-R00-01-F1,94
B1F07-R00-01-F2,95
B1F07-R00-01-G1,96
B1F07-R00-01-G2,97
B1F07-R00-02-00,98
B1F07-R00-02-A1,99
B1F07-R00-02-A2,100
B1F07-R00-02-B1,101
B1F07-R00-02-B2,102
B1F07-R00-02-C1,103
B1F07-R00-02-C2,104
B1F07-R00-02-D1,105
B1F07-R00-02-D2,106
B1F07-R00-02-E1,107
B1F07-R00-02-E2,108
B1F07-R00-02-F1,109
B1F07-R00-02-F2,110
B1F07-R00-02-G1,111
B1F07-R00-02-G2,112
B1F07-R00-03-00,113
B1F07-R00-03-A1,114
B1F07-R00-03-A2,115
B1F07-R00-03-B1,116
B1F07-R00-03-B2,117
B1F07-R00-03-C1,118
B1F07-R00-03-C2,119
B1F07-R00-03-D1,120
B1F07-R00-03-D2,121
B1F07-R00-03-E1,122
B1F07-R00-03-E2,123
B1F07-R00-03-F1,124
B1F07-R00-03-F2,125
B1F07-R00-03-G1,126
B1F07-R00-03-G2,127
B1F07-R00-04-00,128
B1F07-R00-04-A1,129
B1F07-R00-04-A2,130
B1F07-R00-04-B1,131
B1F07-R00-04-B2,132
B1F07-R00-04-C1,133
B1F07-R00-04-C2,134
B1F07-R00-04-D1,135
B1F07-R00-04-D2,136
B1F07-R00-04-E1,137
B1F07-R00-04-E2,138
B1F07-R00-04-F1,139
B1F07-R00-04-F2,140
B1F07-R00-04-G1,141
B1F07-R00-04-G2,142
B1F07-R00-05-00,143
B1F07-R00-05-A1,144
B1F07-R00-05-A2,145
B1F07-R00-05-B1,146
B1F07-R00-05-B2,147
B1F07-R00-05-C1,148
B1F07-R00-05-C2,149
B1F07-R00-05-D1,150
B1F07-R00-05-D2,151
B1F07-R00-05-E1,152
B1F07-R00-05-E2,153
B1F07-R00-05-F1,154
B1F07-R00-05-F2,155
B1F07-R00-05-G1,156
B1F07-R00-05-G2,157
B1F07-R00-06-00,158
B1F07-R00-06-A1,159
B1F07-R00-06-A2,160
B1F07-R00-06-B1,161
B1F07-R00-06-B2,162
B1F07-R00-06-C1,163
B1F07-R00-06-C2,164
B1F07-R00-06-D1,165
B1F07-R00-06-D2,166
B1F07-R00-06-E1,167
B1F07-R00-06-E2,168
B1F07-R00-06-F1,169
B1F07-R00-06-F2,170
B1F07-R00-06-G1,171
B1F07-R00-06-G2,172
B1F07-R00-07-00,173
B1F07-R00-07-A1,174
B1F07-R00-07-A2,175
B1F07-R00-07-B1,176
B1F07-R00-07-B2,177
B1F07-R00-07-C1,178
B1F07-R00-07-C2,179
B1F07-R00-07-D1,180
B1F07-R00-07-D2,181
B1F07-R00-07-E1,182
B1F07-R00-07-E2,183
B1F07-R00-07-F1,184
B1F07-R00-07-F2,185
B1F07-R00-07-G1,186
B1F07-R00-07-G2,187
B1F07-R00-08-00,188
B1F07-R00-08-A1,189
B1F07-R00-08-A2,190
B1F07-R00-08-B1,191
B1F07-R00-08-B2,192
B1F07-R00-08-C1,193
B1F07-R00-08-C2,194
B1F07-R00-08-D1,195
B1F07-R00-08-D2,196
B1F07-R00-08-E1,197
B1F07-R00-08-E2,198
B1F07-R00-08-F1,199
B1F07-R00-08-F2,200
B1F07-R00-08-G1,201
B1F07-R00-08-G2,202
B1F07-R00-09-00,203
B1F07-R00-09-A1,204
B1F07-R00-09-A2,205
B1F07-R00-09-B1,206
B1F07-R00-09-B2,207
B1F07-R00-09-C1,208
B1F07-R00-09-C2,209
B1F07-R00-09-D1,210
B1F07-R00-09-D2,211
B1F07-R00-09-E1,212
B1F07-R00-09-E2,213
B1F07-R00-09-F1,214
B1F07-R00-09-F2,215
B1F07-R00-09-G1,216
B1F07-R00-09-G2,217
B1F07-R00-10-00,218
B1F07-R00-10-A1,219
B1F07-R00-10-A2,220
B1F07-R00-10-B1,221
B1F07-R00-10-B2,222
B1F07-R00-10-C1,223
B1F07-R00-10-C2,224
B1F07-R00-10-D1,225
B1F07-R00-10-D2,226
B1F07-R00-10-E1,227
B1F07-R00-10-E2,228
B1F07-R00-10-F1,229
B1F07-R00-10-F2,230
B1F07-R00-10-G1,231
B1F07-R00-10-G2,232
B1F07-R00-11-00,233
B1F07-R00-11-A1,234
B1F07-R00-11-A2,235
B1F07-R00-11-B1,236
B1F07-R00-11-B2,237
B1F07-R00-11-C1,238
B1F07-R00-11-C2,239
B1F07-R00-11-D1,240
B1F07-R00-11-D2,241
B1F07-R00-11-E1,242
B1F07-R00-11-E2,243
B1F07-R00-11-F1,244
B1F07-R00-11-F2,245
B1F07-R00-11-G1,246
B1F07-R00-11-G2,247
B1F07-R00-12-00,248
B1F07-R00-12-A1,249
B1F07-R00-12-A2,250
B1F07-R00-12-B1,251
B1F07-R00-12-B2,252
B1F07-R00-12-C1,253
B1F07-R00-12-C2,254
B1F07-R00-12-D1,255
B1F07-R00-12-D2,256
B1F07-R00-12-E1,257
B1F07-R00-12-E2,258
B1F07-R00-12-F1,259
B1F07-R00-12-F2,260
