ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A00001;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;77;AUS FRZ RIBEYE PR GF 100 DAYS IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV072;;1;6.23;;;;;
A00002;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;;JAP FRZ WAGYU BEEF CHUCK ROLL A A5 8;FREE;NISHIAWA SAGA BEEF;EST TOKU-2;WAGYU;AAU2HRV072;;1;3.70;30/06/22;;IGU 01/08/22;SZLU 2024220 (20 FEET);
A00003;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;7;AUS FRZ WAGYU BEEF TOPSIDE F1 MB 6-7;FREE;JACK'S CREEK;EST 239;WAGYU;AAU2HRV072;;1;10.74;30/05/22;;IGU 10/08/22;CRLU 2100099 (40 FEET);
A00004;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;87;AUS FRZ TENDERLOIN EQG GF MSA ANGUS MB 2;FREE;TEYS PREMIUM;EST 423;AUS PR CUT;AAU2HRV072;;1;2.54;08/04/22;29/08/22;IN 17/06/22;KKTU 6048787 (40 FEET);EX CHILLED
A00005;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;27;AUS FRZ OP RIB B/IN S GF ANGUS PREPARED CAP OFF (TOMAHAWK CUT) MB 2+;FREE;JACK'S CREEK;EST 1620;AUS 2ND;AAU2JCK024;1;;12.28;05/08/22;;IGU 05/11/22;BMOU 8715039 (40 FEET);
A00006;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;6;DUTCH VEAL TENDER;AMUZ 8 KG;EKRO;;VEAL;AAU2JCK024;;7;20.32;15/01/20;25/03/20;IGU 05/05/20;DARI MEILING;EX MEAT SHOP
A00007;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;100;AUS FRZ CLOD YP MS ANGUS BEEF;FREE;AMG;EST 3085;AUS 2ND;AAU2AMG016;3;;55.20;23/01/20;21/01/22;IMS 03/04/20;SZLU 9639675 (40 FEET);
A00008;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;85;AUS FRZ WAGYU BEEF OP RIB B/IN MB 4-5 (CUT 4 TULANG);ST REGIS;HARVEY;EST 648;WAGYU;AAU2AMG016;;5;24.63;31/10/22;;IN 08/12/22;BMOU 8703104 (40 FEET);EX CHILLED
A00009;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;7;AUS FRZ WAGYU BEEF TENDERLOIN GRASS FED MB 2 UP;ST REGIS;BORTHWICKS;EST 67;WAGYU;AAU2SEC050;1;5;27.00;18/10/22;;IN 27/12/22;OOLU 3963357 (20 FEET);EX CHILLED
A00010;B3;G01;B3G01;B3G01-R01-02-A1;G1-1-02-A1;83;AUS FRZ STRIPLOIN PR GF 5 KG UP IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU1AMH003;25;;454.95;19/07/22;;IN 03/09/22;OOLU 3879821 (40 FEET);EX CHILLED
A00011;B3;G01;B3G01;B3G01-R01-02-A2;G1-1-02-A2;235;US FRZ LEPRINO MOZARELLA CHEESE BLOCK 48 LBS;FREE;LEPRINO;;DAIRY;HUS2LEP002;15;;615.90;08/03/22;07/03/24;IGU 14/06/22;EGSU 5016916 (40 FEET);
A00012;B3;G01;B3G01;B3G01-R01-03-A1;G1-1-03-A1;83;AUS FRZ STRIPLOIN PR 5 KG UP IW/VAC;FREE;SWIFT;EST 688;AUS PR CUT;AAU2JBS020;6;;456.36;13/07/22;;IN 26/08/22;OOLU 2065970 (20 FEET);EX CHILLED
A00013;B3;G01;B3G01;B3G01-R01-03-A2;G1-1-03-A2;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;8;;530.40;05/07/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A00014;B3;G01;B3G01;B3G01-R01-04-A1;G1-1-04-A1;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;SWIFT;EST 688;AUS PR CUT;AAU2HRV073;14;;243.26;28/06/22;;IGU 14/04/22;SZLU 2029705 (40 FEET);EX CHILLED
A00015;B3;G01;B3G01;B3G01-R01-04-A2;G1-1-04-A2;70;AUS FRZ TENDERLOIN A 1,8 KG UP SS/OFF;FREE;TEYS;EST 294;AUS PR CUT;AAU2TYB001;30;;563.26;07/06/22;;IGU 24/09/22;CAIU 5421350 (40 FEET);
A00016;B3;G01;B3G01;B3G01-R01-05-A1;G1-1-05-A1;191;AUS FRZ LAMB MUTTON RACK B/IN IW VAC;FREE;WAGSTAFF;EST 46;AUS LAMB;AAU2WGF001;15;;492.64;10/08/22;10/08/24;IGU 28/09/22;TEMU 9566737 (40 FEET);
A00017;B3;G01;B3G01;B3G01-R01-05-A2;G1-1-05-A2;3;AUS FRZ LAMB SHOULDER B/LESS MEAT TUBE;FREE;MIDFIELD;EST 180;AUS LAMB;AAU2MID061;16;;768.73;08/10/21;08/10/23;IGU 05/03/22;HLBU 9419728(40 FEET);KODE SA
A00018;B3;G01;B3G01;B3G01-R01-06-A1;G1-1-06-A1;63;AUS FRZ SHORT RIBS B/IN A;FREE;ECT;EST 486;AUS 2ND;AAU2ECT002;15;;246.76;09/03/23;07/03/25;SCA 10/04/23;PCIU 6044428 (40 FEET);
A00019;B3;G01;B3G01;B3G01-R01-06-A2;G1-1-06-A2;234;AVOSET (RICH) NON-DAIRY PASTRY TOPPING 12 X 907;FREE;RICHS;;RETAIL;FUS1RIC002;60;;720.00;27/01/23;26/01/24;IGU 09/02/23;PT RICH;
A00020;B3;G01;B3G01;B3G01-R01-07-A1;G1-1-07-A1;38;AUS FRZ STRIPLOIN A 4 KG UP IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2JBS020;25;;486.16;29/09/22;;IGU 03/11/22;BMOU 8704625 (40 FEET);EX CHILLED
A00022;B3;G01;B3G01;B3G01-R01-08-A1;G1-1-08-A1;109;AUS FRZ BEEF TAIL;FREE;AMH;EST 235;AUS 2ND;AAU2JBS011;25;;636.00;25/04/22;;IMS 14/06/22;CXRU 1596271 (40 FEET);
A00023;B3;G01;B3G01;B3G01-R01-08-A1;G1-1-08-A1;109;AUS FRZ BEEF TAIL S;SAMPLE;SWIFT;EST 262;AUS 2ND;AAU2JBS011;1;;14.50;23/05/22;;IMS 16/07/22;CBHU 2688126 (20 FEET);
A00025;B3;G01;B3G01;B3G01-R01-09-A1;G1-1-09-A1;229;AUS FRZ BEEF TOPSIDE A IW;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV056;29;;576.40;18/11/22;;IGU 28/10/22;TRIU 6677706 (40 FEET);EX CHILLED
A00026;B3;G01;B3G01;B3G01-R01-09-A2;G1-1-09-A2;98;AUS FRZ BEEF DRUMP IW;FREE;AMH;EST 235;AUS 2ND;AAU2JBS041;3;;606.80;24/06/22;;SCA 02/09/22;FSCU 5761969 (40 FEET);
A00027;B3;G01;B3G01;B3G01-R01-10-A1;G1-1-10-A1;94;AUS FRZ BEEF KNUCKLE A;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV056;30;;555.52;15/07/22;;SCA 16/08/22;SEGU 9385480 (40 FEET);
A00028;B3;G01;B3G01;B3G01-R01-10-A2;G1-1-10-A2;83;AUS FRZ STRIPLOIN PR 5 KG UP IW/VAC;FREE;HUNTER VALLEY;EST 262;AUS PR CUT;AAU2JBS020;21;;365.60;19/07/22;;IN 12/09/22;OOLU 3872642 (20 FEET);EX CHILLED
A00030;B3;G01;B3G01;B3G01-R01-11-A2;G1-1-11-A2;77;AUS FRZ RIBEYE YGE OVER 1,55 KG IW;FREE;MIDFIELD;EST 180;AUS PR CUT;AAU2MID061;;5;10.20;05/01/21;04/01/23;IGU 06/06/21;HLBU 9557331 (40 FEET);
A00031;B3;G01;B3G01;B3G01-R01-12-A1;G1-1-12-A1;90;BRAZIL FRZ BEEF BRISKET B/LESS ( 42181 );FREE;MINERVA;EST 1940;BRA 2ND;ABR2MVD007;12;3;;13/07/21;;IGU 06/09/21;EGHU 5002586 (40 FEET);
A00032;B3;G01;B3G01;B3G01-R01-12-A2;G1-1-12-A2;102;AUS FRZ BEEF CHEEK MEAT MW/VAC;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV048;40;;627.44;19/11/22;;IGU 21/12/22;TRIU 6767517 (20 FEET);
A00033;B3;G01;B3G01;B3G01-R01-13-A1;G1-1-13-A1;194;AUS FRZ LAMB HINDSHANK MARUNGGA MARBLE MW/VAC;FREE;CEDAR MEAT;EST 206;AUS LAMB;AAU2MUL080;4;9;88.70;20/07/22;;IGU 29/09/22;CGMU 3021545 (20 FEET);
A00035;B3;G01;B3G01;B3G01-R01-14-A1;G1-1-14-A1;;AUS FRZ TENDERLOIN YG 1,8 KG UP;FREE;MIDFIELD;EST 180;AUS PR CUT;AAU2TYB001;6;;680.36;07/06/22;07/06/24;IGU 24/09/22;CAIU 5421350 (40 FEET);
A00036;B3;G01;B3G01;B3G01-R01-14-A2;G1-1-14-A2;234;AVOSET (RICH) CHOCOLATE WHIP TOPPING 12 X 907;FREE;RICHS;;RETAIL;FUS1RIC002;8;;96.00;12/05/22;11/05/23;IGU 16/06/22;PT RICH;
A00037;B3;G01;B3G01;B3G01-R01-14-A2;G1-1-14-A2;194;AUS FRZ LAMB HINDSHANK 500-600GR MW/VAC;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;;8;611.90;01/09/22;;IGU 07/09/22;A/F;
A00038;B3;G01;B3G01;B3G01-R01-01-B1;G1-1-01-B1;102;AUS FRZ TENDERLOIN B SS/OFF;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV032;26;;404.54;02/02/23;;BWN 14/03/23;FSCU 5794561 (40 FEET);
A00039;B3;G01;B3G01;B3G01-R01-01-B2;G1-1-01-B2;87;NZ FRZ STRIPLOIN PR 3 KG UP AVP;FREE;AFFCO;ME 42;NZ PR CUT;ANZ2AFF055;14;4;436.46;06/05/21;07/05/23;BWN 09/10/21;CRSU 5004279 (20 FEET);
